ref,width,height,long_edge,bytes,orientation,sharpness,use,category,drive_file_id
1,899,1599,1599,224822,portrait,39.6,gallery,taekwondo,10ZL70NQhI0mw_jxTAZljx_JXyTgLvjen
2,1024,1536,1536,268640,portrait,63.2,content source (poster),poster,11dmf3KUllHVY6C46XI-lrrmSpTiztfWX
3,1156,867,1156,138145,landscape,43.9,gallery,art,12MFrMvVNCs290lhkj3vZPT8E_xObt5XO
4,1080,608,1080,56353,landscape,37.0,gallery,events,130CJecPYm3nqCpnnvryu9uNb1XDHcQxO
5,1599,899,1599,223282,landscape,41.3,gallery,taekwondo,13_K7dEtQcPBmV8Tz1fSGLjfeIO4ZokG5
6,1600,1066,1600,454730,landscape,30.7,gallery,events,15FpKwMqYoaJdaAP2Wwl0YbVoj5kffj-t
7,1152,648,1152,86238,landscape,37.3,gallery,dance,15VGb0faam9o4_yeXCI_rIyVjt14wjtQO
8,540,1202,1202,64711,portrait,33.7,not used,-,16RxaHlJ4ZVg6y7Mi5BIg59f3Q_dW7kJx
9,891,1280,1280,129725,portrait,25.9,gallery,events,176hZWyEOzg14u-X3HiD7jNBD1F8HIAhK
10,1599,899,1599,157392,landscape,25.5,gallery,taekwondo,17OBXgGPwe22iIoJMQa9_GNds4NfJBOGF
11,1600,1066,1600,343573,landscape,16.6,gallery,events,17pcxJjMJUqNTb2xqiQcPGTyiBoNGdYal
12,1280,721,1280,106932,landscape,29.1,hero (section background),hero,17twkiU2o68Xuv3mja4Gjpp6WBXPK3wbV
13,1080,722,1080,153118,landscape,62.3,not used,-,17wvK9yN_MXcFc9BqlDZcvQVKlXHNhI0_
14,899,1599,1599,196696,portrait,34.3,gallery,art,18wTj2dvFTf5qObVTIMHUG-ncXWZQ2Sqf
15,1600,901,1600,179421,landscape,32.0,gallery,chess,1AI_KEgyxp48Ue5CJiOgYed5cMHP3Jo2_
16,1152,648,1152,92615,landscape,30.8,gallery,chess,1AoGUE0yrVTkOQ6-4H8xWxrreM7UmH_nt
17,1066,1599,1599,248074,portrait,29.5,gallery,dance,1BfNrnZNUZQslab1DCKAQ7qYoaz3IFjMS
18,1599,899,1599,196936,landscape,38.3,gallery,art,1DkDlKw3LQ3fQmjD3HrT8kcxo1n-04_kY
19,1600,901,1600,168634,landscape,26.8,gallery,art,1EcJnkvOk2cYDJRlTo1Mb896NeDhCjaoJ
20,808,1280,1280,127090,portrait,29.3,gallery,events,1Eursu3Wz0dyK9cxfTkh2PJde1HF-n91D
21,1600,1066,1600,293437,landscape,17.5,gallery,events,1FQaQik0U0t6SUI5rKUpovpQC1qTWhot3
22,585,1040,1040,70430,portrait,21.5,gallery,art,1FlMiPuTLF-iB8EdDs4bcvAfQJkj5k1Pa
